VCFG_Plate_ID,treatment.id,compared.to,Mahalanobis,mp.value
D12,Ceritinib (LDK378)_5uM,DMSO_0uM,956.626,0
D10,IKK-16 (IKK Inhibitor VII)_5uM,DMSO_0uM,763.123,0
D09,CUDC-907_5uM,DMSO_0uM,674.285,0
D09,BGT226 (NVP-BGT226)_5uM,DMSO_0uM,518.668,0
D10,IMD 0354_5uM,DMSO_0uM,514.385,0
D07,Volasertib (BI 6727)_5uM,DMSO_0uM,509.894,0
D12,AZD3463_5uM,DMSO_0uM,475.233,0
D16,Dorsomorphin 2HCl_5uM,DMSO_0uM,405.543,0
D11,Tepotinib (EMD 1214063)_5uM,DMSO_0uM,319.755,0
D16,LY2228820_5uM,DMSO_0uM,309.738,0
D11,ALK-IN-1_5uM,DMSO_0uM,262.6,0
D10,Golvatinib (E7050)_5uM,DMSO_0uM,232.919,0
D03,SNS-032 (BMS-387032)_5uM,DMSO_0uM,220.929,0
D15,SGI-7079_5uM,DMSO_0uM,205.424,0
D07,TAK-733_5uM,DMSO_0uM,201.471,0
D10,Torin 2_5uM,DMSO_0uM,194.228,0
D03,BMS-754807_5uM,DMSO_0uM,174.725,0
D16,Cobimetinib (GDC-0973_ RG7420)_5uM,DMSO_0uM,167.975,0
D12,VE-822_5uM,DMSO_0uM,165.385,0
D12,PF-543_5uM,DMSO_0uM,159.294,0
D05,Ponatinib (AP24534)_5uM,DMSO_0uM,153.568,0
D05,AEE788 (NVP-AEE788)_5uM,DMSO_0uM,142.928,0
D11,CX-6258 HCl_5uM,DMSO_0uM,142.197,0
D07,Omipalisib (GSK2126458_ GSK458)_5uM,DMSO_0uM,134.761,0
D11,Pazopanib_5uM,DMSO_0uM,130.341,0
D09,Dinaciclib (SCH727965)_5uM,DMSO_0uM,129.015,0
D16,P276-00_5uM,DMSO_0uM,127.825,0
D12,Bisindolylmaleimide I (GF109203X)_5uM,DMSO_0uM,126.814,0
D03,BI 2536_5uM,DMSO_0uM,125.088,0
D09,Dovitinib (TKI-258) Dilactic Acid_5uM,DMSO_0uM,114.875,0
D07,LY2603618_5uM,DMSO_0uM,109.947,0
D08,Flavopiridol HCl_5uM,DMSO_0uM,107.789,0
D01,Dovitinib (TKI-258_ CHIR-258)_5uM,DMSO_0uM,106.395,0
D12,GZD824 Dimesylate_5uM,DMSO_0uM,103.066,0
D01,NVP-AEW541_5uM,DMSO_0uM,99.593,0
D03,AT9283_5uM,DMSO_0uM,97.47,0
D16,Pacritinib (SB1518)_5uM,DMSO_0uM,93.563,0
D04,CUDC-101_5uM,DMSO_0uM,93.156,0
D04,Flavopiridol (Alvocidib)_5uM,DMSO_0uM,89.253,0
D03,Foretinib (GSK1363089)_5uM,DMSO_0uM,88.685,0
D16,Chloroquine Phosphate_5uM,DMSO_0uM,86.279,0
D06,GSK461364_5uM,DMSO_0uM,84.605,0
D10,PF-477736_5uM,DMSO_0uM,82.389,0
D09,Fedratinib (SAR302503_ TG101348)_5uM,DMSO_0uM,82.353,0
D07,PP121_5uM,DMSO_0uM,80.196,0
D11,AZ20_5uM,DMSO_0uM,73.108,0
D14,AZD6738_5uM,DMSO_0uM,71.626,0
D09,PHA-767491_5uM,DMSO_0uM,70.368,0
D12,Ro3280_5uM,DMSO_0uM,67.072,0
D06,PF-4708671_5uM,DMSO_0uM,66.58,0
D10,TAE226 (NVP-TAE226)_5uM,DMSO_0uM,63.875,0
D12,MLN2480_5uM,DMSO_0uM,63.423,0
D07,Buparlisib (BKM120_ NVP-BKM120)_5uM,DMSO_0uM,63.094,0
D08,KX2-391_5uM,DMSO_0uM,61.96,0
D11,LY2090314_5uM,DMSO_0uM,60.467,0
D16,LY3023414_5uM,DMSO_0uM,59.997,0
D08,CHIR-124_5uM,DMSO_0uM,54.345,0
D16,Perifosine (KRX-0401)_5uM,DMSO_0uM,54.234,0
D09,PF-04691502_5uM,DMSO_0uM,50.945,0
D03,WZ3146_5uM,DMSO_0uM,49.565,0
D08,TG101209_5uM,DMSO_0uM,47.607,0
D11,Fingolimod (FTY720) HCl_5uM,DMSO_0uM,47.576,0
D07,Volasertib (BI 6727)_0.5uM,DMSO_0uM,47.36,0
D09,Dinaciclib (SCH727965)_0.5uM,DMSO_0uM,46.95,0
D08,R547_5uM,DMSO_0uM,44.702,0
D07,AZD5438_5uM,DMSO_0uM,44.347,0
D14,SC1_5uM,DMSO_0uM,41.002,0
D14,LDN-214117_5uM,DMSO_0uM,40.378,0
D12,Ro3280_0.5uM,DMSO_0uM,40.369,0
D16,Palbociclib (PD-0332991) HCl_5uM,DMSO_0uM,39.704,0
D04,Aurora A Inhibitor I_5uM,DMSO_0uM,39.52,0
D12,PF-3758309_5uM,DMSO_0uM,38.192,0
D08,Trametinib (GSK1120212)_5uM,DMSO_0uM,37.395,0
D15,VE-821_5uM,DMSO_0uM,36.818,0
D05,AZD7762_5uM,DMSO_0uM,36.333,0
D14,VX-11e_5uM,DMSO_0uM,32.971,0
D11,VS-5584 (SB2343)_5uM,DMSO_0uM,32.191,0
D09,Milciclib (PHA-848125)_5uM,DMSO_0uM,32.101,0
D11,JNK-IN-8_5uM,DMSO_0uM,30.075,0
D13,FRAX597_5uM,DMSO_0uM,28.172,0
D08,WAY-600_5uM,DMSO_0uM,27.989,0
D16,ASP3026_5uM,DMSO_0uM,27.286,0
D10,Tyrphostin 9_5uM,DMSO_0uM,27.188,0
D12,abemaciclib (LY2835219)_5uM,DMSO_0uM,26.827,0
D13,ERK5-IN-1_5uM,DMSO_0uM,26.124,0
D09,INK 128 (MLN0128)_5uM,DMSO_0uM,25.465,0
D03,BI 2536_0.5uM,DMSO_0uM,25.211,0
D06,SGI-1776 free base_5uM,DMSO_0uM,24.95,0
D16,ETP-46464_5uM,DMSO_0uM,24.428,0
D04,Rigosertib (ON-01910)_5uM,DMSO_0uM,24.269,0
D02,Refametinib (RDEA119_ Bay 86-9766)_5uM,DMSO_0uM,24.254,0
D08,WYE-125132 (WYE-132)_5uM,DMSO_0uM,23.776,0
D04,Ki8751_0.5uM,DMSO_0uM,23.12,0
D13,EHop-016_5uM,DMSO_0uM,22.949,0
D02,Masitinib (AB1010)_5uM,DMSO_0uM,22.806,0
D10,PF-562271_5uM,DMSO_0uM,22.58,0
D06,AZD8330_5uM,DMSO_0uM,22.474,0
D04,ENMD-2076_5uM,DMSO_0uM,21.693,0
D01,Saracatinib (AZD0530)_5uM,DMSO_0uM,21.307,0
D14,Vacquinol-1_5uM,DMSO_0uM,21.178,0
D09,Tivantinib (ARQ 197)_5uM,DMSO_0uM,20.521,0
D08,GSK1838705A_5uM,DMSO_0uM,20.083,0
D08,A-674563_5uM,DMSO_0uM,19.899,0
D11,VX-702_5uM,DMSO_0uM,19.853,0
D13,JNK Inhibitor IX_5uM,DMSO_0uM,19.606,0
D06,Torkinib (PP242)_5uM,DMSO_0uM,19.413,0
D16,GDC-0349_5uM,DMSO_0uM,18.684,0
D05,Pimasertib (AS-703026)_5uM,DMSO_0uM,18.474,0
D13,HS-173_5uM,DMSO_0uM,18.411,0
D14,PF-431396_5uM,DMSO_0uM,18.409,0
D15,VPS34-IN1_5uM,DMSO_0uM,17.697,0
D01,Pazopanib HCl (GW786034 HCl)_5uM,DMSO_0uM,17.433,0
D13,URMC-099_5uM,DMSO_0uM,17.165,0
D01,Cediranib (AZD2171)_5uM,DMSO_0uM,16.378,0
D05,AT7519_5uM,DMSO_0uM,16.359,0
D05,Hesperadin_5uM,DMSO_0uM,15.949,0
D06,AZ 960_5uM,DMSO_0uM,15.885,0
D09,CUDC-907_0.5uM,DMSO_0uM,15.799,0
D16,AMG 337_5uM,DMSO_0uM,15.782,0
D03,Danusertib (PHA-739358)_5uM,DMSO_0uM,15.74,0
D15,Akti-1/2_5uM,DMSO_0uM,15.48,0
D13,AZD2858_5uM,DMSO_0uM,15.246,0
D08,Apitolisib (GDC-0980_ RG7422)_5uM,DMSO_0uM,14.498,0
D13,Uprosertib (GSK2141795)_5uM,DMSO_0uM,14.474,0
D04,Ki8751_5uM,DMSO_0uM,14.293,0
D10,Alpelisib (BYL719)_5uM,DMSO_0uM,13.188,0
D13,KN-62_5uM,DMSO_0uM,12.97,0
D15,Ulixertinib (BVD-523_ VRT752271)_5uM,DMSO_0uM,12.388,0
D07,OSI-027_5uM,DMSO_0uM,12.27,0
D14,Anacardic Acid_0.5uM,DMSO_0uM,12.202,0
D15,AZD5363_5uM,DMSO_0uM,12.16,0
D14,SU9516_0.5uM,DMSO_0uM,12.151,0
D07,Indirubin_5uM,DMSO_0uM,12.093,0
D07,Phenformin HCl_5uM,DMSO_0uM,12.061,0
D03,SNS-314 Mesylate_5uM,DMSO_0uM,12.027,0
D04,YM201636_5uM,DMSO_0uM,11.855,0
D15,GSK2292767_5uM,DMSO_0uM,11.473,0
D09,CHIR-98014_5uM,DMSO_0uM,11.228,0
D01,Sorafenib Tosylate_5uM,DMSO_0uM,11.211,0
D02,Pictilisib (GDC-0941)_5uM,DMSO_0uM,10.817,0
D12,Ceritinib (LDK378)_0.5uM,DMSO_0uM,10.566,0
D07,Degrasyn (WP1130)_5uM,DMSO_0uM,10.302,0
D10,Tyrphostin AG 879_5uM,DMSO_0uM,10.222,0
D03,Alisertib (MLN8237)_5uM,DMSO_0uM,10.089,0
D07,Idelalisib (CAL-101_ GS-1101)_0.5uM,DMSO_0uM,9.97,0
D13,HTH-01-015_5uM,DMSO_0uM,9.898,0
D10,WHI-P154_5uM,DMSO_0uM,9.778,0
D03,Barasertib (AZD1152-HQPA)_5uM,DMSO_0uM,9.757,0
D16,BMS-345541_5uM,DMSO_0uM,9.553,0
D01,BMS-536924_5uM,DMSO_0uM,9.529,0
D07,Daphnetin_5uM,DMSO_0uM,9.345,0
D01,PD0325901_5uM,DMSO_0uM,9.255,0
D02,ZM 447439_5uM,DMSO_0uM,9.221,0
D14,G-749_5uM,DMSO_0uM,9.174,0
D14,BLZ945_5uM,DMSO_0uM,9.153,0
D07,Chrysophanic Acid_5uM,DMSO_0uM,8.94,0
D15,CC-223_5uM,DMSO_0uM,8.936,0
D07,PIK-294_0.5uM,DMSO_0uM,8.812,0
D03,WZ8040_5uM,DMSO_0uM,8.748,0
D07,Momelotinib (CYT387)_0.5uM,DMSO_0uM,8.552,0
D07,PIK-294_5uM,DMSO_0uM,8.245,0
D07,Apatinib_5uM,DMSO_0uM,8.194,0
D02,MK-2206 2HCl_5uM,DMSO_0uM,8.043,0
D09,MK-2461_0.5uM,DMSO_0uM,7.963,0
D13,WZ4003_5uM,DMSO_0uM,7.635,0
D01,Nintedanib (BIBF 1120)_0.5uM,DMSO_0uM,7.511,0
D13,Rociletinib (CO-1686_ AVL-301)_5uM,DMSO_0uM,7.401,0
D03,Brivanib Alaninate (BMS-582664)_0.5uM,DMSO_0uM,7.291,0
D09,Ipatasertib (GDC-0068)_5uM,DMSO_0uM,7.287,0
D13,Osimertinib (AZD9291)_5uM,DMSO_0uM,7.225,0
D02,GDC-0879_0.5uM,DMSO_0uM,7.075,0
D01,PD184352 (CI-1040)_5uM,DMSO_0uM,7.006,0
D03,Triciribine_5uM,DMSO_0uM,6.982,0
D01,Axitinib_0.5uM,DMSO_0uM,6.881,0
D03,Everolimus (RAD001)_0.5uM,DMSO_0uM,6.835,0
D01,Saracatinib (AZD0530)_0.5uM,DMSO_0uM,6.807,0
D02,AC480 (BMS-599626)_5uM,DMSO_0uM,6.694,0
D02,PF-04217903_5uM,DMSO_0uM,6.575,0
D15,Entrectinib (RXDX-101)_5uM,DMSO_0uM,6.566,0
D12,AZD3463_0.5uM,DMSO_0uM,6.383,0
D14,GNE-7915_5uM,DMSO_0uM,6.327,0
D07,Fostamatinib (R788)_5uM,DMSO_0uM,6.302,0
D04,VX-745_0.5uM,DMSO_0uM,6.165,0
D07,Daphnetin_0.5uM,DMSO_0uM,6.107,0
D03,PLX-4720_0.5uM,DMSO_0uM,5.954,0
D07,OSI-027_0.5uM,DMSO_0uM,5.942,0
D01,Nintedanib (BIBF 1120)_5uM,DMSO_0uM,5.893,0
D12,GZD824 Dimesylate_0.5uM,DMSO_0uM,5.891,0
D08,Dacomitinib (PF299804_ PF299)_5uM,DMSO_0uM,5.874,0
D08,AS-604850_0.5uM,DMSO_0uM,5.647,0
D14,SU6656_5uM,DMSO_0uM,5.612,0
D14,LDN-214117_0.5uM,DMSO_0uM,5.546,0
D09,BGT226 (NVP-BGT226)_0.5uM,DMSO_0uM,5.533,0
D10,Tideglusib_5uM,DMSO_0uM,5.5,0
D08,NVP-BSK805 2HCl_5uM,DMSO_0uM,5.499,0
D16,Chloroquine Phosphate_0.5uM,DMSO_0uM,5.464,0
D09,AMG-458_5uM,DMSO_0uM,5.364,0
D14,BLZ945_0.5uM,DMSO_0uM,5.296,0
D01,Dasatinib_5uM,DMSO_0uM,5.281,0
D10,SAR131675_5uM,DMSO_0uM,5.28,0
D10,Semaxanib (SU5416)_5uM,DMSO_0uM,5.193,0
D03,Cabozantinib (XL184_ BMS-907351)_5uM,DMSO_0uM,5.126,0
D01,Afatinib (BIBW2992)_5uM,DMSO_0uM,5.113,0
D16,Olmutinib (HM61713_ BI 1482694)_0.5uM,DMSO_0uM,5.11,0
D04,Genistein_5uM,DMSO_0uM,5.094,0
D12,VE-822_0.5uM,DMSO_0uM,5.09,0
D12,Skepinone-L_5uM,DMSO_0uM,5.079,0
D14,IPA-3_5uM,DMSO_0uM,5.044,0
D01,Nilotinib (AMN-107)_0.5uM,DMSO_0uM,4.96,0
D03,PD98059_5uM,DMSO_0uM,4.958,0
D14,AT13148_0.5uM,DMSO_0uM,4.943,0
D03,JNJ-38877605_0.5uM,DMSO_0uM,4.931,0
D08,Trametinib (GSK1120212)_0.5uM,DMSO_0uM,4.853,0
D14,AZD6738_0.5uM,DMSO_0uM,4.824,0
D15,DASA-58_5uM,DMSO_0uM,4.73,0
D08,AMG-900_5uM,DMSO_0uM,4.72,0
D12,RKI-1447_5uM,DMSO_0uM,4.698,0
D12,SSR128129E_0.5uM,DMSO_0uM,4.638,0
D14,FIIN-2_5uM,DMSO_0uM,4.623,0
D10,ZM 306416_5uM,DMSO_0uM,4.57,0
D02,Pictilisib (GDC-0941)_0.5uM,DMSO_0uM,4.56,0
D10,Icotinib_5uM,DMSO_0uM,4.508,0
D16,BMS-582949_0.5uM,DMSO_0uM,4.5,0
D07,Asiatic Acid_5uM,DMSO_0uM,4.476,0
D14,D 4476_0.5uM,DMSO_0uM,4.439,0
D14,D 4476_5uM,DMSO_0uM,4.42,0
D08,AG-1478 (Tyrphostin AG-1478)_5uM,DMSO_0uM,4.401,0
D12,MLN2480_0.5uM,DMSO_0uM,4.38,0
D03,Lenvatinib (E7080)_5uM,DMSO_0uM,4.365,0
D12,CGK 733_5uM,DMSO_0uM,4.323,0
D13,Sorafenib_5uM,DMSO_0uM,4.273,0
D16,Miltefosine_0.5uM,DMSO_0uM,4.253,0
D14,VX-11e_0.5uM,DMSO_0uM,4.25,0
D12,SKI II_0.5uM,DMSO_0uM,4.165,0
D09,Varlitinib_0.5uM,DMSO_0uM,4.143,0
D14,AT13148_5uM,DMSO_0uM,4.103,0
D16,7_8-Dihydroxyflavone_5uM,DMSO_0uM,4.055,0
